gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedPoints,shorthandedGoals,opponentAbbrev,pim,toi,season
2025020062,MTL,H,2025-10-16,0,0,{'default': 'Canadiens'},{'default': 'Predators'},0,-1,0,0,0,0,0,13,0,0,NSH,0,12:10,2025
2025020050,MTL,H,2025-10-14,0,1,{'default': 'Canadiens'},{'default': 'Kraken'},1,1,0,0,0,0,2,14,0,0,SEA,0,10:43,2025
2025020031,MTL,R,2025-10-11,0,0,{'default': 'Canadiens'},{'default': 'Blackhawks'},0,-1,0,0,0,0,3,14,0,0,CHI,0,13:33,2025
2025020010,MTL,R,2025-10-09,0,0,{'default': 'Canadiens'},{'default': 'Red Wings'},0,0,0,0,0,0,0,15,0,0,DET,0,13:45,2025
2025020004,MTL,R,2025-10-08,0,0,{'default': 'Canadiens'},{'default': 'Maple Leafs'},0,-2,0,0,0,0,1,17,0,0,TOR,2,12:51,2025
2024021301,MTL,H,2025-04-16,0,0,{'default': 'Canadiens'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,14,0,0,CAR,0,11:56,2024
2024021285,MTL,H,2025-04-14,0,0,{'default': 'Canadiens'},{'default': 'Blackhawks'},0,0,0,0,0,0,4,18,0,0,CHI,0,15:17,2024
2024021269,MTL,R,2025-04-12,0,0,{'default': 'Canadiens'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,15,0,0,TOR,0,11:13,2024
2024021260,MTL,R,2025-04-11,0,0,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,4,17,0,0,OTT,2,13:18,2024
2024021236,MTL,H,2025-04-08,0,0,{'default': 'Canadiens'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,17,0,0,DET,0,11:53,2024
2024021228,MTL,R,2025-04-06,1,0,{'default': 'Canadiens'},{'default': 'Predators'},1,1,0,0,1,0,1,11,0,0,NSH,0,11:28,2024
2024021217,MTL,H,2025-04-05,0,0,{'default': 'Canadiens'},{'default': 'Flyers'},0,0,0,0,0,0,1,15,0,0,PHI,0,13:55,2024
2024021197,MTL,H,2025-04-03,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,0,0,0,0,0,1,17,0,0,BOS,0,15:17,2024
2024021183,MTL,H,2025-04-01,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,1,0,0,0,0,3,18,0,0,FLA,2,14:35,2024
2024021170,MTL,R,2025-03-30,1,0,{'default': 'Canadiens'},{'default': 'Panthers'},1,0,1,1,0,0,1,16,0,0,FLA,0,13:32,2024
2024021154,MTL,R,2025-03-28,0,0,{'default': 'Canadiens'},{'default': 'Hurricanes'},0,-2,0,0,0,0,1,13,0,0,CAR,0,11:53,2024
2024021146,MTL,R,2025-03-27,1,0,{'default': 'Canadiens'},{'default': 'Flyers'},1,0,0,0,0,0,5,19,0,0,PHI,0,16:54,2024
2024021133,MTL,R,2025-03-25,0,0,{'default': 'Canadiens'},{'default': 'Blues'},0,-1,0,0,0,0,3,17,0,0,STL,0,16:19,2024
2024021112,MTL,H,2025-03-22,0,1,{'default': 'Canadiens'},{'default': 'Avalanche'},1,0,0,0,0,0,3,20,0,0,COL,0,17:30,2024
2024021094,MTL,R,2025-03-20,1,1,{'default': 'Canadiens'},{'default': 'Islanders'},2,-1,1,1,0,0,4,19,0,0,NYI,0,15:52,2024
